IP:PORT, LOSS, DELAY
188.114.99.218:1010,0.00%,70 ms
188.114.97.187:1018,0.00%,70 ms
188.114.96.173:1010,0.00%,71 ms
162.159.192.230:1010,0.00%,71 ms
162.159.195.101:1010,0.00%,71 ms
188.114.99.84:1018,0.00%,72 ms
188.114.99.214:1010,0.00%,72 ms
162.159.192.14:1018,0.00%,73 ms
162.159.195.71:1018,0.00%,73 ms
188.114.99.160:1010,0.00%,74 ms
188.114.96.103:1018,10.00%,123 ms
188.114.96.221:1018,10.00%,125 ms
162.159.192.49:1018,10.00%,128 ms
162.159.195.209:1010,10.00%,155 ms
188.114.96.49:1010,10.00%,177 ms
188.114.96.9:1018,10.00%,180 ms
162.159.192.27:1010,10.00%,181 ms
188.114.99.73:1010,10.00%,187 ms
188.114.97.53:1010,10.00%,194 ms
188.114.98.116:1018,50.00%,506 ms
188.114.97.22:1018,50.00%,512 ms
188.114.97.53:1018,50.00%,514 ms
188.114.98.236:1018,50.00%,515 ms
188.114.99.212:1018,50.00%,516 ms
188.114.99.212:1010,50.00%,518 ms
188.114.99.218:1018,50.00%,519 ms
188.114.99.118:1018,80.00%,875 ms
188.114.99.104:1018,80.00%,875 ms
188.114.97.99:1018,80.00%,875 ms
188.114.99.118:1010,80.00%,875 ms
162.159.195.242:1018,80.00%,877 ms
188.114.98.96:1010,80.00%,877 ms
162.159.195.209:1018,80.00%,877 ms
188.114.97.210:1018,80.00%,878 ms
162.159.195.80:1010,80.00%,878 ms
188.114.97.99:1010,80.00%,879 ms
162.159.192.49:1010,80.00%,879 ms
162.159.195.242:1010,80.00%,879 ms
188.114.98.121:1010,80.00%,879 ms
188.114.98.96:1018,80.00%,879 ms
162.159.193.77:1018,100.00%,1000 ms
188.114.96.111:1010,100.00%,1000 ms
188.114.98.21:1018,100.00%,1000 ms
162.159.193.156:1018,100.00%,1000 ms
162.159.193.100:1018,100.00%,1000 ms
162.159.204.85:1010,100.00%,1000 ms
162.159.192.109:1018,100.00%,1000 ms
162.159.193.103:1010,100.00%,1000 ms
162.159.193.121:1010,100.00%,1000 ms
162.159.193.12:1010,100.00%,1000 ms
162.159.195.137:1010,100.00%,1000 ms
162.159.193.190:1010,100.00%,1000 ms
162.159.204.10:1018,100.00%,1000 ms
162.159.192.133:1010,100.00%,1000 ms
162.159.193.100:1010,100.00%,1000 ms
162.159.193.103:1018,100.00%,1000 ms
162.159.193.192:1010,100.00%,1000 ms
162.159.193.190:1018,100.00%,1000 ms
162.159.195.137:1018,100.00%,1000 ms
162.159.192.179:1010,100.00%,1000 ms
162.159.195.109:1018,100.00%,1000 ms
188.114.98.38:1010,100.00%,1000 ms
188.114.99.160:1018,100.00%,1000 ms
188.114.98.67:1010,100.00%,1000 ms
162.159.192.98:1018,100.00%,1000 ms
188.114.98.85:1018,100.00%,1000 ms
162.159.192.249:1010,100.00%,1000 ms
162.159.195.109:1010,100.00%,1000 ms
162.159.192.39:1018,100.00%,1000 ms
162.159.193.218:1018,100.00%,1000 ms
188.114.98.48:1018,100.00%,1000 ms
188.114.99.74:1010,100.00%,1000 ms
188.114.99.214:1018,100.00%,1000 ms
162.159.193.192:1018,100.00%,1000 ms
188.114.99.59:1010,100.00%,1000 ms
162.159.193.255:1010,100.00%,1000 ms
162.159.193.203:1018,100.00%,1000 ms
162.159.193.218:1010,100.00%,1000 ms
162.159.193.59:1010,100.00%,1000 ms
162.159.193.50:1010,100.00%,1000 ms
162.159.193.203:1010,100.00%,1000 ms
162.159.193.12:1018,100.00%,1000 ms
162.159.193.50:1018,100.00%,1000 ms
188.114.98.48:1010,100.00%,1000 ms
162.159.192.216:1010,100.00%,1000 ms
162.159.192.98:1010,100.00%,1000 ms
162.159.192.179:1018,100.00%,1000 ms
162.159.192.14:1010,100.00%,1000 ms
162.159.195.163:1010,100.00%,1000 ms
162.159.192.76:1010,100.00%,1000 ms
162.159.192.230:1018,100.00%,1000 ms
162.159.192.76:1018,100.00%,1000 ms
162.159.192.216:1018,100.00%,1000 ms
188.114.98.236:1010,100.00%,1000 ms
162.159.193.156:1010,100.00%,1000 ms
162.159.193.255:1018,100.00%,1000 ms
162.159.192.249:1018,100.00%,1000 ms
162.159.192.27:1018,100.00%,1000 ms
162.159.192.39:1010,100.00%,1000 ms
162.159.193.59:1018,100.00%,1000 ms
162.159.192.133:1018,100.00%,1000 ms
162.159.195.118:1018,100.00%,1000 ms
162.159.195.118:1010,100.00%,1000 ms
188.114.99.73:1018,100.00%,1000 ms
188.114.98.38:1018,100.00%,1000 ms
188.114.99.74:1018,100.00%,1000 ms
162.159.195.203:1010,100.00%,1000 ms
162.159.195.203:1018,100.00%,1000 ms
162.159.193.97:1018,100.00%,1000 ms
188.114.97.22:1010,100.00%,1000 ms
188.114.98.67:1018,100.00%,1000 ms
162.159.204.175:1010,100.00%,1000 ms
162.159.195.162:1018,100.00%,1000 ms
188.114.96.111:1018,100.00%,1000 ms
162.159.204.10:1010,100.00%,1000 ms
162.159.204.222:1018,100.00%,1000 ms
162.159.204.227:1018,100.00%,1000 ms
188.114.97.191:1010,100.00%,1000 ms
188.114.96.136:1010,100.00%,1000 ms
162.159.193.121:1018,100.00%,1000 ms
162.159.204.21:1018,100.00%,1000 ms
188.114.99.11:1010,100.00%,1000 ms
162.159.204.54:1018,100.00%,1000 ms
188.114.97.9:1018,100.00%,1000 ms
162.159.193.90:1010,100.00%,1000 ms
162.159.204.55:1010,100.00%,1000 ms
188.114.99.11:1018,100.00%,1000 ms
188.114.96.186:1010,100.00%,1000 ms
188.114.98.116:1010,100.00%,1000 ms
188.114.96.180:1010,100.00%,1000 ms
188.114.96.173:1018,100.00%,1000 ms
188.114.96.136:1018,100.00%,1000 ms
188.114.96.212:1010,100.00%,1000 ms
188.114.96.186:1018,100.00%,1000 ms
188.114.97.9:1010,100.00%,1000 ms
188.114.97.1:1010,100.00%,1000 ms
162.159.204.21:1010,100.00%,1000 ms
162.159.192.109:1010,100.00%,1000 ms
188.114.96.201:1018,100.00%,1000 ms
188.114.96.9:1010,100.00%,1000 ms
188.114.96.180:1018,100.00%,1000 ms
188.114.97.248:1010,100.00%,1000 ms
188.114.96.103:1010,100.00%,1000 ms
188.114.96.212:1018,100.00%,1000 ms
188.114.98.21:1010,100.00%,1000 ms
188.114.98.121:1018,100.00%,1000 ms
188.114.97.191:1018,100.00%,1000 ms
188.114.96.49:1018,100.00%,1000 ms
188.114.97.176:1010,100.00%,1000 ms
162.159.195.80:1018,100.00%,1000 ms
188.114.99.84:1010,100.00%,1000 ms
188.114.97.73:1018,100.00%,1000 ms
188.114.99.59:1018,100.00%,1000 ms
188.114.97.176:1018,100.00%,1000 ms
162.159.195.147:1010,100.00%,1000 ms
162.159.204.250:1010,100.00%,1000 ms
162.159.193.90:1018,100.00%,1000 ms
188.114.96.221:1010,100.00%,1000 ms
188.114.98.85:1010,100.00%,1000 ms
162.159.193.77:1010,100.00%,1000 ms
162.159.204.85:1018,100.00%,1000 ms
162.159.193.97:1010,100.00%,1000 ms
188.114.98.177:1010,100.00%,1000 ms
188.114.97.133:1018,100.00%,1000 ms
188.114.97.187:1010,100.00%,1000 ms
188.114.98.200:1018,100.00%,1000 ms
162.159.204.81:1010,100.00%,1000 ms
162.159.204.58:1018,100.00%,1000 ms
162.159.195.101:1018,100.00%,1000 ms
162.159.204.81:1018,100.00%,1000 ms
188.114.97.66:1018,100.00%,1000 ms
162.159.204.175:1018,100.00%,1000 ms
188.114.98.200:1010,100.00%,1000 ms
162.159.204.58:1010,100.00%,1000 ms
162.159.204.54:1010,100.00%,1000 ms
188.114.98.206:1018,100.00%,1000 ms
188.114.98.162:1018,100.00%,1000 ms
188.114.99.104:1010,100.00%,1000 ms
162.159.195.71:1010,100.00%,1000 ms
162.159.195.163:1018,100.00%,1000 ms
162.159.204.227:1010,100.00%,1000 ms
188.114.97.210:1010,100.00%,1000 ms
162.159.195.162:1010,100.00%,1000 ms
162.159.195.147:1018,100.00%,1000 ms
162.159.204.250:1018,100.00%,1000 ms
188.114.97.66:1010,100.00%,1000 ms
188.114.97.248:1018,100.00%,1000 ms
188.114.98.177:1018,100.00%,1000 ms
188.114.97.73:1010,100.00%,1000 ms
188.114.97.133:1010,100.00%,1000 ms
162.159.204.55:1018,100.00%,1000 ms
188.114.98.163:1010,100.00%,1000 ms
188.114.98.206:1010,100.00%,1000 ms
188.114.96.201:1010,100.00%,1000 ms
188.114.98.163:1018,100.00%,1000 ms
162.159.204.151:1010,100.00%,1000 ms
162.159.204.151:1018,100.00%,1000 ms
188.114.98.162:1010,100.00%,1000 ms
162.159.204.222:1010,100.00%,1000 ms
188.114.97.1:1018,100.00%,1000 ms
